Age,EstimatedSalary,Purchased
56,20237,1
46,35056,1
32,129548,0
25,126488,0
38,149415,1
56,44375,0
36,31964,0
40,128429,0
28,82215,0
28,84042,0
41,108468,0
53,24435,0
57,93832,0
41,66293,0
20,93781,0
39,58919,0
19,136172,0
41,109758,0
47,71573,0
55,74101,1
19,41646,0
38,119185,1
50,38049,1
29,113116,0
39,112379,1
42,83385,1
44,141131,0
59,38289,0
45,125226,1
33,115793,1
32,24823,0
20,56975,1
54,24540,1
24,31364,1
38,42663,1
26,66991,1
56,119182,0
35,109704,0
21,64115,0
42,106007,1
31,26938,0
26,106680,0
43,19000,0
19,116042,0
37,108610,1
45,118691,1
24,53304,0
25,84449,0
52,97986,0
31,123940,0
34,53494,0
53,18373,0
57,112532,0
21,107658,0
19,138633,0
23,115386,0
59,42350,0
21,108008,0
46,109297,1
35,40351,0
43,103668,0
51,129585,1
27,90353,0
53,80953,1
31,72458,0
48,35358,1
32,18267,1
25,97745,1
31,104588,1
40,53513,0
57,26338,0
38,146484,1
33,22543,0
35,120891,1
41,75692,0
43,59425,0
42,53756,0
58,33888,0
46,62295,0
32,129352,0
18,98042,0
42,100999,0
24,32955,0
26,52841,1
41,85640,0
18,76476,0
25,59811,0
41,86180,1
28,127856,0
34,83450,1
25,126888,1
52,125448,0
52,29397,0
50,146800,0
22,134180,0
59,81234,0
56,54954,1
58,94459,0
45,74163,0
24,66934,0
26,69098,1
25,20486,0
29,101900,0
51,141020,1
50,117795,1
40,102508,0
41,133324,0
54,75566,1
52,42192,0
57,16062,0
39,99076,0
44,104780,0
52,36689,1
18,26174,1
52,103461,0
54,141174,0
31,118033,0
20,24348,0
18,53102,1
22,89460,0
43,117634,0
31,104930,0
56,21801,0
44,118150,0
26,16542,1
32,36677,0
32,54081,1
43,108105,0
59,34065,0
30,103092,0
49,69693,1
56,41962,1
49,43295,0
21,28807,0
47,147396,1
54,106267,0
40,34870,0
56,41790,1
32,133874,0
46,40289,0
53,30485,0
30,59482,0
49,101188,0
24,19748,1
39,18709,0
45,138961,0
19,45355,0
59,57918,0
23,67224,1
45,54298,0
45,95219,0
37,76629,1
47,81040,0
28,43016,0
45,38960,0
42,48591,0
56,118333,0
50,129821,0
18,51395,1
44,144695,0
30,49620,0
58,143148,0
20,35559,0
56,108396,1
23,36732,0
25,106362,0
44,28843,1
26,129065,0
54,86726,0
50,32640,0
59,67528,0
41,53413,1
32,67638,0
49,125133,0
49,121357,0
41,93859,1
58,114657,0
29,26023,1
56,36447,0
19,140899,1
20,38959,1
54,81203,1
34,134156,1
19,24337,0
19,61427,0
45,76529,0
40,117023,0
54,99665,0
49,120787,0
50,48307,0
18,142016,0
36,19835,1
19,35159,0
43,136790,1
49,120616,1
23,93752,1
49,70284,0
21,72043,1
28,112007,1
34,97844,1
55,42532,0
41,137402,0
22,133012,0
51,71178,0
23,64407,0
39,65990,1
28,144473,1
33,73141,0
50,71570,1
26,16015,0
23,76813,1
33,42712,1
46,115497,0
20,127816,0
37,143778,1
53,77292,0
36,38833,0
43,35309,1
20,21970,0
36,87474,1
37,61540,0
49,33017,1
24,90880,0
58,120570,1
50,23702,1
57,146456,0
56,15404,0
35,27763,1
57,113142,0
18,95642,0
28,65612,0
45,38574,0
42,38524,1
40,25916,0
48,19809,0
47,136288,0
59,53765,0
52,60106,0
24,68932,0
33,72091,1
43,36949,0
19,52744,0
18,123319,1
29,107193,0
22,51187,1
54,139454,0
49,29489,0
26,76877,0
58,64922,0
52,109074,1
36,52131,0
33,130765,0
20,88963,0
37,121884,0
41,140917,1
50,39285,0
41,52626,0
28,34198,0
25,30254,0
53,59238,1
55,16252,0
57,54764,1
37,92709,0
52,68682,0
42,74494,1
52,96317,0
42,80215,0
46,93587,1
35,21949,0
35,70393,1
19,40934,0
52,90745,1
33,109456,1
58,68413,0
53,112239,1
50,57318,0
21,85390,1
50,58088,0
31,118196,0
38,70479,0
37,34963,0
25,70123,0
24,140911,1
20,117468,1
34,88477,1
50,29388,0
29,20569,0
39,84836,0
39,119573,0
47,60002,0
55,39071,0
55,73243,1
25,140827,0
44,123215,0
44,116570,0
51,84724,0
38,130359,0
47,90697,1
50,43732,0
45,136465,0
50,72108,0
22,126195,1
36,118081,1
21,51668,1
52,38061,0
34,94252,0
45,54749,0
47,145560,1
46,119680,1
23,66745,0
52,123464,1
58,106865,1
54,127428,0
41,38624,1
46,38321,1
48,37574,0
52,133831,0
50,110257,0
38,79291,0
49,142600,0
